depth_ft,weight_on_bit_klb,torque_ftlb,rpm,anhydrite_pct,calcite_pct,chlorite_pct,epidote_pct,hematite_pct,quartz_pct,h2s_shakers_ppm,h2s_rig_floor_ppm,h2s_pits_ppm,hardness_index,soft_to_hard_ratio,chlorite_likely_imputed,high_wob,high_rpm,high_torque,aggressive_drilling,mse_simplified,quartz_x_wob,rpm_x_torque,hardness_x_wob,rop_ft_hr,rop_transformed
1095.0,4.18,1.3497,26.66,0.0,0.0,2.0,0.0,0.0,10.0,80.0,0.0,0.0,0.75,0.1998001998001998,1,0,0,0,0,4.18021157759746,41.8,35.983002,3.135,170.06,10.489605626787425
3415.0,63.12,11.9264,98.11,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.75,0.1998001998001998,1,0,1,0,0,63.12602336612787,631.1999999999999,1170.099104,47.34,194.25,10.977785246256792
9570.0,70.33,23.9192,54.51,0.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,100.0,4.25,0.0333277787035494,1,1,0,1,0,70.33590665756999,4219.8,1303.835592,298.9025,220.73,11.462706870208374
10370.0,45.03,18.6308,57.01,0.0,0.0,10.0,0.0,0.0,30.0,0.0,0.0,0.0,2.35,0.3332222592469177,0,0,0,1,0,45.03333430201853,1350.9,1062.141908,105.8205,318.54,12.945230606264293
3145.0,65.3,10.5029,98.03,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.75,0.1998001998001998,1,1,1,0,0,65.31323222319753,653.0,1029.599287,48.975,77.8,7.9324882050432635
2975.0,62.92,17.023,99.08,0.0,0.0,2.0,0.0,0.0,5.0,40.0,0.0,0.0,0.4,0.3992015968063872,1,0,1,1,0,62.925532321448486,314.6,1686.6388399999998,25.168000000000003,304.86,12.760474962840322
9470.0,69.93,2.6774,28.08,0.0,0.0,2.0,0.0,0.0,70.0,0.0,0.0,100.0,4.95,0.0285673475217826,1,1,0,0,0,69.9313034221914,4895.1,75.181392,346.15350000000007,57.67,7.082629382220464
2222.0,23.98,15.0905,99.06,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,1,0,0,23.98229657699221,119.9,1494.8649300000002,9.592,650.9,16.259918701161755
10454.0,18.12,17.2664,41.07,0.0,0.0,10.0,10.0,5.0,40.0,0.0,0.0,0.0,3.975,0.1817851299763679,0,0,0,1,0,18.858678175,724.8000000000001,709.1310480000001,72.027,0.95,0.7269966184092886
8386.0,70.38,18.3506,70.66,0.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,4.25,0.0333277787035494,1,1,0,1,0,70.38718805585675,4222.799999999999,1296.653396,299.115,180.38,10.703821132224604
10508.0,28.82,19.8847,61.47,0.0,0.0,10.0,10.0,0.0,40.0,20.0,0.0,0.0,3.7,0.1999600079984003,0,0,0,1,0,28.82615557490557,1152.8,1222.312509,106.634,198.56,11.059940814574373
4547.0,65.26,13.2761,99.06,0.0,0.0,5.0,5.0,30.0,30.0,0.0,40.0,60.0,4.2,0.0769112444239347,0,1,1,0,0,65.28038329922505,1957.8,1315.130466,274.09200000000004,64.51,7.392999752491215
2147.0,16.48,12.9,98.06,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,1,0,0,16.48164703722511,82.4,1264.9740000000002,6.5920000000000005,768.02,17.116352200854195
7001.0,60.07,18.0777,61.68,0.0,5.0,2.0,0.0,0.0,50.0,0.0,0.0,10.0,3.7,0.1399720055988802,1,0,0,1,0,60.087485220887565,3003.5,1115.032536,222.259,63.76,7.360188643808763
319.0,3.93,1.3497,33.55,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,0,0,0,3.930206986492664,19.65,45.28243499999999,1.572,218.76,11.428172443948597
8394.0,70.08,1.6669,28.19,0.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,4.25,0.0333277787035494,1,1,0,0,0,70.08157156892976,4204.8,46.989911000000006,297.84,29.89,5.43778654820012
6920.0,62.65,15.9387,59.76,0.0,0.0,2.0,0.0,0.0,70.0,0.0,0.0,100.0,4.95,0.0285673475217826,1,0,0,0,0,62.67570147630869,4385.5,952.496712,310.1175,37.05,5.943583828586418
10016.0,55.43,19.0808,82.96,0.0,3.0,10.0,0.0,0.0,30.0,0.0,0.0,0.0,2.44,0.433188937020993,0,0,0,1,0,55.43733897337846,1662.9,1582.9431679999998,135.2492,215.68,11.373711748137374
7217.0,59.99,18.1883,59.89,0.0,5.0,2.0,0.0,0.0,40.0,0.0,0.0,100.0,3.0,0.1749562609347663,1,0,0,1,0,60.00721392678572,2399.6,1089.297287,179.97,63.27,7.338597969024811
6284.0,59.88,10.1341,60.2,0.0,5.0,2.0,0.0,2.0,50.0,0.0,0.0,100.0,3.81,0.1345895020188425,1,0,0,0,0,59.892664995225246,2994.0,610.07282,228.1428,48.16,6.602458015442428
3097.0,64.5,12.3763,99.17,0.0,0.0,2.0,0.0,0.0,5.0,30.0,0.0,0.0,0.4,0.3992015968063872,1,1,1,0,0,64.5091498260847,322.5,1227.357671,25.8,134.13,9.658536686066352
7762.0,59.57,18.7415,94.1,0.0,0.0,5.0,0.0,0.0,40.0,0.0,0.0,0.0,2.925,0.1249687578105473,0,0,0,1,0,59.5810003439995,2382.8,1763.5751499999997,174.24224999999998,160.31,10.278132515042955
9193.0,59.22,2.2791,28.65,0.0,0.0,2.0,0.0,0.0,60.0,0.0,100.0,0.0,4.25,0.0333277787035494,1,0,0,0,0,59.221156094458216,3553.2,65.296215,251.685,56.47,7.02541455350813
299.0,5.65,1.3497,38.66,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,0,0,0,5.650229774107182,28.25,52.17940199999999,2.26,227.08,11.572481372341805
7064.0,59.9,18.026,60.02,0.0,2.0,2.0,0.0,2.0,50.0,0.0,0.0,100.0,3.72,0.07690828686791,1,0,0,1,0,59.91700330850228,2995.0,1081.92052,222.828,63.62,7.354032405379483
2840.0,29.88,4.5139,1.04,5.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.925,0.6993006993006993,1,0,0,0,0,29.880096593744856,298.8,4.694456,27.639,48.59,6.625609020956001
8810.0,55.13,2.2201,28.87,0.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,100.0,4.25,0.0333277787035494,1,0,0,0,0,55.13156099091574,3307.8,64.094287,234.3025,41.05,6.195646677251465
4237.0,64.16,15.9682,99.12,0.0,0.0,5.0,0.0,5.0,10.0,10.0,0.0,0.0,1.1,0.3331112591605596,0,1,1,0,0,64.17453948175638,641.5999999999999,1582.767984,70.57600000000001,108.85,8.967926873500334
4483.0,54.53,12.3542,99.12,0.0,0.0,5.0,5.0,5.0,40.0,0.0,0.0,20.0,3.525,0.0999800039992001,0,0,1,0,0,54.5500679826942,2181.2,1224.548304,192.21825,61.01,7.237389257708048
370.0,5.17,1.3497,33.1,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,0,0,0,5.170304471273768,25.85,44.67507,2.068,146.72,9.966771050479302
3034.0,64.81,11.1077,98.14,0.0,0.0,2.0,0.0,0.0,5.0,40.0,0.0,0.0,0.4,0.3992015968063872,1,1,1,0,0,64.81829043788882,324.05,1090.109678,25.924000000000003,131.48,9.590936902807714
