depth_ft,weight_on_bit_klb,torque_ftlb,rpm,anhydrite_pct,calcite_pct,chlorite_pct,epidote_pct,hematite_pct,quartz_pct,h2s_shakers_ppm,h2s_rig_floor_ppm,h2s_pits_ppm,hardness_index,soft_to_hard_ratio,chlorite_likely_imputed,rop_per_wob,rop_per_rpm,rop_per_torque,high_wob,high_rpm,high_torque,aggressive_drilling,mse_simplified,quartz_x_wob,rpm_x_torque,hardness_x_wob,depth_bin,rop_ft_hr
212.0,0.92,1.3497,22.92,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,193.64516129032256,7.853903183602267,132.44833419136575,0,0,0,0,0.9201717663742366,4.6000000000000005,30.935124,0.36800000000000005,0.0,180.09
9051.0,54.76,17.3475,67.93,0.0,0.0,2.0,0.0,0.0,60.0,0.0,100.0,0.0,4.25,0.03332777870354941,1,3.5935731239729782,2.8969679128642913,11.339190551634738,0,0,1,0,54.765986971879286,3285.6,1178.4156750000002,232.73,17.0,196.82
7157.0,59.72,16.8902,58.81,0.0,5.0,2.0,0.0,0.0,30.0,0.0,0.0,100.0,2.3,0.23325558147284237,1,0.9688598694123556,0.9838490309418565,3.4242198317179673,0,0,1,0,59.73716158711127,1791.6,993.312662,137.356,14.0,57.87
7892.0,36.98,2.4487,28.15,0.0,2.0,2.0,0.0,0.0,60.0,0.0,0.0,100.0,4.31,0.06665555740709882,1,3.0359556636928904,3.9879261363636362,45.67454345792492,0,0,0,0,36.98061375572077,2218.7999999999997,68.930905,159.38379999999998,15.0,112.3
9068.0,3.23,14.0137,70.78,0.0,0.0,2.0,0.0,0.0,60.0,0.0,100.0,0.0,4.25,0.03332777870354941,1,20.521604938271604,0.9392569571973441,4.741259439377624,0,0,0,0,3.24491563437594,193.8,991.889686,13.7275,17.0,66.49
5868.0,65.22,10.8422,64.78,0.0,5.0,2.0,0.0,0.0,60.0,0.0,0.0,20.0,4.4,0.11664722546242293,1,0.7383105932852981,0.743324587127643,4.437809845008385,1,0,0,0,65.23458081204069,3913.2,702.357716,286.968,11.0,48.16
2392.0,30.6,13.3941,97.96,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,4.793204835021235,1.4976013065224048,10.945904611275655,0,1,0,0,30.608942179758742,153.0,1312.086036,12.240000000000002,4.0,146.72
5662.0,64.6,10.289,72.63,0.0,2.0,2.0,0.0,0.0,60.0,0.0,0.0,50.0,4.31,0.06665555740709882,1,0.8173657328586906,0.7270099118942731,5.127682299252355,1,0,0,0,64.6141478619841,3875.9999999999995,747.2900699999999,278.42599999999993,11.0,52.81
8283.0,68.48,17.7384,81.13,0.0,0.0,2.0,0.0,0.0,70.0,0.0,0.0,50.0,4.95,0.0285673475217826,1,3.6922178420207326,3.11658861227508,14.248044894187645,1,0,1,0,68.48569068129227,4793.6,1439.116392,338.97600000000006,16.0,252.88
2094.0,19.28,14.6259,98.26,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,45.52358735095904,8.936094433703062,59.99972669941719,0,1,0,0,19.281636536546873,96.4,1437.140934,7.712000000000001,4.0,878.15
6945.0,62.59,16.0715,59.91,0.0,0.0,2.0,0.0,0.0,70.0,0.0,0.0,100.0,4.95,0.0285673475217826,1,0.5161341853035144,0.5392189586114821,2.0091409383453036,0,0,0,0,62.61979095188738,4381.3,962.843565,309.82050000000004,13.0,32.31
9552.0,69.18,23.0415,53.19,0.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,100.0,4.25,0.03332777870354941,1,2.8621188032952736,3.7223684210526318,8.59076415851463,1,0,1,0,69.18618853456373,4150.8,1225.5773849999998,294.01500000000004,18.0,198.03
1095.0,4.18,1.3497,26.66,0.0,0.0,2.0,0.0,0.0,10.0,80.0,0.0,0.0,0.75,0.1998001998001998,1,40.58711217183772,6.376452943382077,125.07170699418991,0,0,0,0,4.1802115775974595,41.8,35.983002,3.135,2.0,170.06
3415.0,63.12,11.9264,98.11,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.75,0.1998001998001998,1,3.0769840012672267,1.979718711781492,16.27375087966221,0,1,0,0,63.12602336612787,631.1999999999999,1170.099104,47.339999999999996,6.0,194.25
9570.0,70.33,23.9192,54.51,0.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,100.0,4.25,0.03332777870354941,1,3.1380437873187375,4.048606016140866,9.224295003593934,1,0,1,0,70.33590665756999,4219.8,1303.835592,298.9025,18.0,220.73
10370.0,45.03,18.6308,57.01,0.0,0.0,10.0,0.0,0.0,30.0,0.0,0.0,0.0,2.35,0.3332222592469177,0,7.072380106571937,5.586460890915469,17.08832238959701,0,0,1,0,45.033334302018524,1350.9,1062.141908,105.82050000000001,20.0,318.54
